t,value
1504495561,1839402712
1504495562,1712874096
1504495563,1637392496
1504495564,1601601168
1504495565,1584973136
1504495566,1584972272
1504495567,1584971408
1504495568,1584970512
1504495569,1579573736
1504495570,1540575960
1504495571,1533665664
1504495572,1533664800
1504495573,1533159864
1504495574,1522578736
1504495575,1511493752
1504495576,1500692864
1504495577,1500692000
1504495578,1500691136
1504495654,1839363008
1504495655,1712844704
1504495656,1647936528
1504495657,1608126728
1504495658,1585452472
1504495659,1585451608
1504495660,1585450744
1504495661,1585449880
1504495662,1580053040
1504495663,1541039736
1504495664,1534128720
1504495665,1534127856
1504495666,1534126896
1504495667,1523041872
1504495668,1517141096
1504495669,1511736160
1504495670,1511735264
1504495671,1511734400
1504495672,1511229648
1504495673,1511228784
1504495674,1811012520
1504495675,1769751608
1504495676,1769751512
1504495713,1829276880
1504495714,1696409232
1504495715,1633622360
1504495716,1597843640
1504495717,1581719568
1504495718,1581718704
1504495719,1581717840
1504495720,1581716976
1504495721,1576320136
1504495722,1537136520
1504495723,1530729240
1504495724,1530224344
1504495725,1530223352
1504495726,1519138392
1504495727,1513741640
1504495728,1507832736
1504495729,1507831776
1504495730,1507830848
1504495731,1507325920
1504495732,1800552360
1504495733,1759290976
1504495734,1759290976
1504495735,1758907912
1504495736,1758907912
1504495800,1839388664
1504495801,1706488664
1504495802,1647931448
1504495803,1602076056
1504495804,1584944176
1504495805,1584943280
1504495806,1584942416
1504495807,1584941552
1504495808,1579544632
1504495809,1540460152
1504495810,1533548904
1504495811,1533548040
1504495812,1533547080
1504495813,1522462216
1504495814,1511377256
1504495815,1505972256
1504495816,1505971392
1504495817,1505466656
1504495818,1504961800
1504495819,1897614112
1504495820,1764365528
1504502643,1839385048
1504502644,1706501000
1504502645,1637360304
1504502646,1604088440
1504502647,1584941200
1504502648,1584940336
1504502649,1584939472
1504502650,1584938608
1504502651,1579541656
1504502652,1540423480
1504502653,1533008992
1504502654,1533008128
1504502655,1522427000
1504502656,1521922280
1504502657,1511341232
1504502658,1500540344
1504502659,1500539480
1504502660,1500538616
1504502661,1500033760
1504502662,1800134472
