t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1504495561,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495562,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495563,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495564,4,652034,163008.500000,0,326017.000000,0.000000,489025.500000,652034.000000,652034.000000,652034.000000,652034.000000
1504495565,5,652034,238500.600000,0,328953.794672,0.000000,596251.500000,652034.000000,652034.000000,652034.000000,652034.000000
1504495566,6,652034,273604.333333,0,306532.399245,224561.500000,568360.250000,652034.000000,652034.000000,652034.000000,652034.000000
1504495567,7,652034,271218.142857,0,279895.725507,256901.000000,540469.000000,652034.000000,652034.000000,652034.000000,652034.000000
1504495568,8,652034,258409.250000,0,261653.395646,212824.000000,517632.500000,652034.000000,652034.000000,652034.000000,652034.000000
1504495569,9,652034,247067.888889,0,247107.922309,168747.000000,494796.000000,652034.000000,652034.000000,652034.000000,652034.000000
1504495570,10,652034,238085.500000,0,234700.778785,162995.500000,471959.500000,652034.000000,652034.000000,652034.000000,652034.000000
1504495571,11,920876,300157.363636,0,303245.921348,168747.000000,540469.000000,920876.000000,920876.000000,920876.000000,920876.000000
1504495572,12,920876,321161.416667,0,298148.126747,212824.000000,549271.750000,920876.000000,920876.000000,920876.000000,920876.000000
1504495573,13,920876,312171.692308,0,287289.418935,204295.000000,546337.500000,920876.000000,920876.000000,920876.000000,920876.000000
1504495574,14,920876,299624.857143,0,279982.626110,186521.000000,543403.250000,920876.000000,920876.000000,920876.000000,920876.000000
1504495575,15,920876,289209.466667,0,272796.941403,168747.000000,540469.000000,920876.000000,920876.000000,920876.000000,920876.000000
1504495576,16,920876,279487.562500,0,266400.462749,162995.500000,517632.500000,920876.000000,920876.000000,920876.000000,920876.000000
1504495577,17,920876,270396.176471,0,260650.603764,157244.000000,494796.000000,920876.000000,920876.000000,920876.000000,920876.000000
1504495578,18,920876,260764.277778,0,256148.908719,156790.500000,471959.500000,920876.000000,920876.000000,920876.000000,920876.000000
1504495654,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495655,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495656,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495657,4,594110,148527.500000,0,297055.000000,0.000000,445582.500000,594110.000000,594110.000000,594110.000000,594110.000000
1504495658,5,594110,231558.000000,0,317256.322900,0.000000,578895.000000,594110.000000,594110.000000,594110.000000,594110.000000
1504495659,6,594110,270845.333333,0,299636.825004,233641.000000,571287.500000,594110.000000,594110.000000,594110.000000,594110.000000
1504495660,7,594110,272107.571429,0,273550.132756,279681.000000,563680.000000,594110.000000,594110.000000,594110.000000,594110.000000
1504495661,8,594110,259698.125000,0,255678.854084,226256.500000,539580.500000,594110.000000,594110.000000,594110.000000,594110.000000
1504495662,9,594110,248238.111111,0,241624.096765,172832.000000,515481.000000,594110.000000,594110.000000,594110.000000,594110.000000
1504495663,10,594110,238762.300000,0,229767.714287,164695.000000,491381.500000,594110.000000,594110.000000,594110.000000,594110.000000
1504495664,11,846523,294013.272727,0,284768.769595,172832.000000,563680.000000,846523.000000,846523.000000,846523.000000,846523.000000
1504495665,12,846523,319851.000000,0,285888.432983,226256.500000,586502.500000,846523.000000,846523.000000,846523.000000,846523.000000
1504495666,13,846523,312074.076923,0,275149.825901,218751.000000,578895.000000,846523.000000,846523.000000,846523.000000,846523.000000
1504495667,14,846523,300635.500000,0,267797.597216,195791.500000,571287.500000,846523.000000,846523.000000,846523.000000,846523.000000
1504495668,15,846523,292703.600000,0,259878.316013,181657.000000,563680.000000,846523.000000,846523.000000,846523.000000,846523.000000
1504495669,16,846523,285053.375000,0,252924.306738,177244.500000,539580.500000,846523.000000,846523.000000,846523.000000,846523.000000
1504495670,17,846523,275037.588235,0,248350.372693,172832.000000,515481.000000,846523.000000,846523.000000,846523.000000,846523.000000
1504495671,18,846523,265288.277778,0,244459.972968,171566.000000,491381.500000,846523.000000,846523.000000,846523.000000,846523.000000
1504495672,19,846523,255518.894737,0,241358.688989,170300.000000,467282.000000,846523.000000,846523.000000,846523.000000,846523.000000
1504495673,20,846523,246807.150000,0,238130.018679,163429.000000,420381.750000,834400.150000,846523.000000,846523.000000,846523.000000
1504495674,21,846523,239043.714286,0,234811.201015,156558.000000,373481.500000,822277.300000,846523.000000,846523.000000,846523.000000
1504495675,22,846523,231597.227273,0,231798.761289,155019.000000,326581.250000,810154.450000,846523.000000,846523.000000,846523.000000
1504495676,23,846523,225665.391304,0,228249.110273,153480.000000,279681.000000,798031.600000,846523.000000,846523.000000,846523.000000
