t,value
1504495561,0
1504495562,0
1504495563,1320
1504495564,1320
1504495565,1320
1504495566,1320
1504495567,1320
1504495568,1320
1504495569,1320
1504495570,1319
1504495571,1319
1504495572,1318
1504495573,1318
1504495574,1318
1504495575,1318
1504495576,1319
1504495577,1319
1504495578,1320
1504495654,0
1504495655,0
1504495656,1320
1504495657,1320
1504495658,1320
1504495659,1320
1504495660,1320
1504495661,1320
1504495662,1320
1504495663,1319
1504495664,1319
1504495665,1318
1504495666,1318
1504495667,1318
1504495668,1318
1504495669,1318
1504495670,1318
1504495671,1318
1504495672,1318
1504495673,1318
1504495674,1318
1504495675,1319
1504495676,1319
1504495713,0
1504495714,0
1504495715,1320
1504495716,1320
1504495717,1320
1504495718,1320
1504495719,1320
1504495720,1320
1504495721,1320
1504495722,1319
1504495723,1319
1504495724,1318
1504495725,1318
1504495726,1318
1504495727,1318
1504495728,1318
1504495729,1318
1504495730,1318
1504495731,1318
1504495732,1318
1504495733,1318
1504495734,1319
1504495735,1319
1504495736,1320
1504495800,0
1504495801,0
1504495802,1320
1504495803,1320
1504495804,1320
1504495805,1320
1504495806,1320
1504495807,1320
1504495808,1320
1504495809,1319
1504495810,1319
1504495811,1318
1504495812,1318
1504495813,1318
1504495814,1318
1504495815,1318
1504495816,1318
1504495817,1318
1504495818,1319
1504495819,1319
1504495820,1320
1504502643,0
1504502644,0
1504502645,1320
1504502646,1320
1504502647,1320
1504502648,1320
1504502649,1320
1504502650,1320
1504502651,1320
1504502652,1319
1504502653,1319
1504502654,1318
1504502655,1318
1504502656,1318
1504502657,1318
1504502658,1318
1504502659,1318
1504502660,1318
1504502661,1319
1504502662,1319
1504502663,1320
1504502690,0
1504502691,0
1504502692,1320
1504502693,1320
1504502694,1320
1504502695,1320
1504502696,1320
1504502697,1320
1504502698,1320
1504502699,1319
1504502700,1319
1504502701,1318
1504502702,1318
1504502703,1318
1504502704,1318
1504502705,1318
1504502706,1318
1504502707,1318
1504502708,1319
1504502709,1319
1504502710,1320
1504503437,0
1504503438,0
1504503439,1320
1504503440,1320
1504503441,1320
1504503442,1320
1504503443,1320
1504503444,1320
1504503445,1320
1504503446,1319
1504503447,1319
1504503448,1318
1504503449,1318
1504503450,1318
1504503451,1318
1504503452,1318
1504503453,1318
1504503454,1318
1504503455,1319
1504503456,1319
1504503457,1320
1504510409,0
1504510410,0
1504510466,0
1504510467,0
1504510663,0
1504510664,0
1504510665,1320
1504510666,1320
1504510667,1320
1504510668,1320
1504510669,1320
1504510670,1320
1504510671,1320
1504510672,1320
1504510673,1319
1504510674,1319
1504510728,0
1504510729,0
1504510730,1320
1504510731,1320
1504510732,1320
1504510733,1320
1504510734,1320
1504510735,1320
1504510736,1320
1504510741,1320
1504510741,1320
1504510741,1320
1504510741,1320
1504510742,1320
1504510745,1320
1504510750,1320
1504510750,1320
1504510751,1320
1504510751,1320
1504510751,1320
1504510751,1320
1504510751,1320
1504510751,1320
1504510752,1320
1504510753,1320
1504510754,1320
1504510755,1320
1504510759,1320
1504510759,1320
1504510759,1320
1504510759,1320
1504510761,1319
1504510765,1319
1504510767,1319
1504510767,1319
1504510768,1319
1504510774,1319
1504510774,1319
1504510774,1319
1504510774,1319
1504510774,1319
1504510776,1319
1504510776,1319
1504510776,1319
1504510776,1319
1504510782,1319
1504510782,1319
1504510782,1319
1504510782,1319
1504510783,1319
1504510784,1319
1504510784,1319
1504510785,1319
1504510785,1319
1504510785,1319
1504510785,1319
1504510785,1319
1504510792,1319
1504510792,1319
1504510792,1319
1504510792,1319
1504510792,1319
1504510792,1319
1504510792,1319
1504510792,1319
1504510859,0
1504510860,0
1504510861,1320
1504510862,1320
1504510863,1320
1504510864,1320
1504510865,1320
1504510866,1320
1504510867,1320
1504510872,1320
1504510872,1320
1504510872,1320
1504510872,1320
1504510872,1320
1504510873,1320
1504510875,1319
1504510884,1319
1504510884,1319
1504510884,1319
1504510886,1319
1504510886,1319
1504510886,1319
1504510888,1319
1504510888,1319
1504510890,1319
1504510897,1319
1504510897,1319
1504510897,1319
1504510897,1319
1504510897,1319
1504510897,1319
1504510897,1319
1504510897,1319
1504510897,1319
1504510897,1319
1504510897,1319
1504510897,1319
1504510897,1319
1504510897,1319
1504510898,1319
1504510900,1319
1504510900,1319
1504510915,1319
1504510915,1319
1504510916,1319
1504510916,1319
1504510917,1319
1504510917,1319
1504510917,1319
1504510917,1319
1504510917,1319
1504510917,1319
1504510917,1319
1504510917,1319
1504510917,1319
1504510917,1319
1504510917,1319
1504510917,1319
1504510917,1319
1504513849,0
1504513850,0
1504513851,1320
1504513852,1320
1504513853,1320
1504513854,1320
1504513855,1320
1504513856,1320
1504513857,1320
1504513858,1320
1504513861,1319
1504513863,1319
1504513863,1319
1504513864,1319
1504513864,1319
1504513868,1319
1504513868,1319
1504513869,1319
1504513873,1319
1504513873,1319
1504513873,1319
1504513873,1319
1504513873,1319
1504513873,1319
1504513873,1319
1504513874,1319
1504514082,0
1504514083,0
1504514084,1320
1504514085,1320
1504514086,1320
1504514087,1320
1504514088,1320
1504514089,1320
1504514090,1320
1504514091,1320
1504514095,1319
1504514096,1319
1504514096,1319
1504514097,1319
1504514097,1319
1504514097,1319
1504514099,1319
1504514103,1319
1504514104,1319
1504514104,1319
1504514104,1319
1504514104,1319
1504514104,1319
1504514105,1319
1504514106,1319
1504514107,1319
1504514110,1319
1504514110,1319
1504514111,1319
