t,count
1504495570,1024
1504495571,0
1504495572,1024
1504495573,0
1504495574,0
1504495575,0
1504495576,0
1504495577,0
1504495578,0
1504495663,1024
1504495664,0
1504495665,1024
1504495666,0
1504495667,0
1504495668,0
1504495669,0
1504495670,0
1504495671,0
1504495672,0
1504495673,0
1504495674,0
1504495675,0
1504495676,0
1504495722,1024
1504495723,0
1504495724,1024
1504495725,0
1504495726,0
1504495727,0
1504495728,0
1504495729,0
1504495730,0
1504495731,0
1504495732,0
1504495733,0
1504495734,0
1504495735,0
1504495736,0
1504495809,1024
1504495810,0
1504495811,1024
1504495812,0
1504495813,0
1504495814,0
1504495815,0
1504495816,0
1504495817,0
1504495818,0
1504495819,0
1504495820,0
1504502652,1024
1504502653,0
1504502654,1024
1504502655,0
1504502656,0
1504502657,0
1504502658,0
1504502659,0
1504502660,0
1504502661,0
1504502662,0
1504502663,0
1504502699,1024
1504502700,0
1504502701,1024
1504502702,0
1504502703,0
1504502704,0
1504502705,0
1504502706,0
1504502707,0
1504502708,0
1504502709,0
1504502710,0
1504503446,1024
1504503447,0
1504503448,1024
1504503449,0
1504503450,0
1504503451,0
1504503452,0
1504503453,0
1504503454,0
1504503455,0
1504503456,0
1504503457,0
1504510673,0
1504510674,0
1504510761,1024
1504510765,1024
1504510767,1024
1504510767,1024
1504510768,1024
1504510774,1024
1504510774,1024
1504510774,1024
1504510774,0
1504510774,0
1504510776,0
1504510776,0
1504510776,0
1504510776,0
1504510782,0
1504510782,0
1504510782,0
1504510782,0
1504510783,0
1504510784,0
1504510784,0
1504510785,0
1504510785,0
1504510785,0
1504510785,0
1504510785,0
1504510792,0
1504510792,0
1504510792,0
1504510792,0
1504510792,0
1504510792,0
1504510792,0
1504510792,0
1504510875,1024
1504510884,1024
1504510884,1024
1504510884,0
1504510886,0
1504510886,0
1504510886,0
1504510888,0
1504510888,0
1504510890,0
1504510897,0
1504510897,0
1504510897,0
1504510897,0
1504510897,0
1504510897,0
1504510897,0
1504510897,0
1504510897,0
1504510897,0
1504510897,0
1504510897,0
1504510897,0
1504510897,0
1504510898,0
1504510900,0
1504510900,0
1504510915,0
1504510915,0
1504510916,0
1504510916,0
1504510917,0
1504510917,0
1504510917,0
1504510917,0
1504510917,0
1504510917,0
1504510917,0
1504510917,0
1504510917,0
1504510917,0
1504510917,0
1504510917,0
1504510917,0
1504513861,1024
1504513863,1024
1504513863,0
1504513864,0
1504513864,0
1504513868,0
1504513868,0
1504513869,0
1504513873,0
1504513873,0
1504513873,0
1504513873,0
1504513873,0
1504513873,0
1504513873,0
1504513874,0
1504514095,1024
1504514096,1024
1504514096,0
1504514097,0
1504514097,0
1504514097,0
1504514099,0
1504514103,0
1504514104,0
1504514104,0
1504514104,0
1504514104,0
1504514104,0
1504514105,0
1504514106,0
1504514107,0
1504514110,0
1504514110,0
1504514111,0
1504514114,0
1504514114,0
1504514136,0
1504514136,0
1504514136,0
1504514136,0
1504514136,0
1504514136,0
1504514136,0
1504514136,0
1504514136,0
1504514136,0
1504514136,0
1504514136,0
1504514136,0
1504514173,1024
1504514174,1024
1504514174,0
1504514175,0
1504514175,0
1504514176,0
1504514176,0
1504514177,0
1504514183,0
1504514183,0
1504514183,0
1504514183,0
1504514183,0
1504514184,0
1504514184,0
1504514184,0
1504514184,0
1504514186,0
1504514186,0
1504514187,0
1504514188,0
1504514190,0
1504514190,0
1504514195,0
1504514195,0
1504514196,0
1504514202,0
1504514202,0
1504514234,0
1504514234,0
1504514234,0
1504514234,0
1504514234,0
1504514234,0
1504514234,0
1504514234,0
1504514234,0
1504514234,0
1504514234,0
1504514234,0
1504514234,0
1504514234,0
1504514352,1024
1504514353,1024
1504514353,0
1504514354,0
1504514354,0
1504514355,0
1504514355,0
1504514356,0
1504514357,0
1504514358,0
1504514358,0
1504514358,0
1504514362,0
1504514385,0
1504514385,0
1504514385,0
1504514385,0
1504514385,0
1504514385,0
1504514385,0
1504514385,0
1504514385,0
1504514385,0
1504514385,0
1504514385,0
1504514385,0
1504514385,0
1504514385,0
1504514385,0
1504524621,1024
1504524622,0
1504524623,0
1504524624,0
1504529654,1024
1504529655,0
1504529656,0
1504529743,1024
1504529747,1024
1504529747,0
1504529748,0
1504529748,0
1504529749,0
1504529749,0
1504529750,0
1504529756,0
1504529793,0
1504529793,0
1504529793,0
1504529793,0
1504529793,0
1504529793,0
1504529793,0
1504529793,0
1504529793,0
1504529793,0
1504529793,0
1504529815,1024
1504529816,1024
1504529816,0
1504529817,0
1504529817,0
1504529820,0
1504529821,0
1504529827,0
1504529827,0
1504529827,0
1504529827,0
1504529827,0
1504529827,0
1504529827,0
1504529827,0
1504529827,0
1504529827,0
1504529833,0
1504529843,0
1504529843,0
1504529843,0
1504529843,0
1504529843,0
1504529843,0
1504529843,0
1504529843,0
1504529843,0
1504529843,0
1504529843,0
1504529843,0
1504529843,0
1504529859,1024
1504529864,1024
1504529864,1024
1504529865,0
1504529865,0
1504529865,0
1504529866,0
1504529866,0
1504529870,0
1504529870,0
1504529870,0
1504529870,0
1504529873,0
1504529873,0
1504529873,0
1504529887,0
